Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
11,Aidan Johnson,Melbourne,6.0,1.0,5.0,0.17,0.83,0.0,0.0,2.0,Key Forward
11,Bayley Fritsch,Melbourne,13.0,9.0,4.0,0.69,0.31,6.0,2.0,2.0,Gen. Forward
11,Caleb Windsor,Melbourne,24.0,15.0,9.0,0.62,0.38,3.0,0.0,3.0,Gen. Defender
11,Charlie Spargo,Melbourne,,,,,,,,,Gen. Forward
11,Christian Petracca,Melbourne,28.0,14.0,14.0,0.5,0.5,3.0,1.0,4.0,Mid-Forward
11,Christian Salem,Melbourne,31.0,20.0,11.0,0.65,0.35,11.0,1.0,4.0,Gen. Defender
11,Clayton Oliver,Melbourne,31.0,13.0,18.0,0.42,0.58,2.0,1.0,12.0,Midfielder
11,Daniel Turner,Melbourne,16.0,11.0,5.0,0.69,0.31,8.0,0.0,2.0,Key Defender
11,Ed Langdon,Melbourne,31.0,12.0,19.0,0.39,0.61,5.0,0.0,8.0,Mid-Forward
11,Harrison Petty,Melbourne,7.0,3.0,4.0,0.43,0.57,1.0,1.0,2.0,Key Forward
11,Harry Sharp,Melbourne,,,,,,,,,Gen. Forward
11,Harvey Langford,Melbourne,21.0,11.0,10.0,0.52,0.48,3.0,0.0,1.0,Midfielder
11,Jake Bowey,Melbourne,17.0,10.0,7.0,0.59,0.41,4.0,0.0,3.0,Gen. Defender
11,Jake Lever,Melbourne,12.0,4.0,8.0,0.33,0.67,1.0,0.0,3.0,Gen. Defender
11,Jake Melksham,Melbourne,10.0,6.0,4.0,0.6,0.4,2.0,3.0,2.0,Key Forward
11,Judd McVee,Melbourne,21.0,14.0,7.0,0.67,0.33,8.0,0.0,1.0,Gen. Defender
11,Kade Chandler,Melbourne,16.0,10.0,6.0,0.62,0.38,6.0,0.0,4.0,Gen. Forward
11,Kysaiah Pickett,Melbourne,24.0,18.0,6.0,0.75,0.25,4.0,5.0,4.0,Mid-Forward
11,Max Gawn,Melbourne,21.0,10.0,11.0,0.48,0.52,3.0,1.0,9.0,Ruck
11,Steven May,Melbourne,12.0,8.0,4.0,0.67,0.33,5.0,0.0,1.0,Key Defender
11,Tom Sparrow,Melbourne,11.0,7.0,4.0,0.64,0.36,1.0,2.0,5.0,Gen. Forward
11,Trent Rivers,Melbourne,17.0,10.0,7.0,0.59,0.41,2.0,0.0,9.0,Gen. Defender
11,Xavier Lindsay,Melbourne,22.0,13.0,9.0,0.59,0.41,4.0,0.0,3.0,Midfielder
12,Aidan Johnson,Melbourne,,,,,,,,,Key Forward
12,Bailey Laurie,Melbourne,,,,,,,,,Gen. Forward
12,Bayley Fritsch,Melbourne,15.0,7.0,8.0,0.47,0.53,7.0,1.0,4.0,Gen. Forward
